2025/12/10 00:07:44.241 Cnt: 00000459	State: 04	Flags: 0x04130080	Pos: 4.675e+00	Vel: 2.059e+02	Iq: 2.800e+00	DcV: 2.409e+01	DcI: 4.804e-01	DcP:-8.924e+00	ExV: 2.472e+01	ExI: 3.533e-01	ExP: 8.690e+00	WoV: 1.176e+01	WoI: 3.189e-01	WoP: 3.748e+00	Tm:-5.880e+01	Tr: 1.335e+02
2025/12/10 00:07:54.302 Cnt: 00000469	State: 04	Flags: 0x04130080	Pos: 4.520e+00	Vel: 1.747e+02	Iq: 2.420e+00	DcV: 2.444e+01	DcI: 3.408e-01	DcP:-6.124e+00	ExV: 2.473e+01	ExI: 3.454e-01	ExP: 8.519e+00	WoV: 1.176e+01	WoI: 3.195e-01	WoP: 3.755e+00	Tm:-6.518e+01	Tr: 9.626e+01
2025/12/10 00:08:04.365 Cnt: 00000479	State: 04	Flags: 0x04130080	Pos: 1.772e+00	Vel: 7.180e+01	Iq: 9.158e-01	DcV: 2.463e+01	DcI: 4.903e-02	DcP:-5.595e-02	ExV: 2.474e+01	ExI: 3.455e-01	ExP: 8.517e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.756e+00	Tm:-3.057e+02	Tr: 3.062e+02
2025/12/10 00:08:14.419 Cnt: 00000489	State: 04	Flags: 0x04130080	Pos: 4.826e+00	Vel: 2.199e+02	Iq: 3.008e+00	DcV: 2.476e+01	DcI: 4.158e-01	DcP:-9.704e+00	ExV: 2.473e+01	ExI: 3.674e-01	ExP: 9.072e+00	WoV: 1.176e+01	WoI: 3.198e-01	WoP: 3.759e+00	Tm:-5.582e+01	Tr: 1.323e+02
2025/12/10 00:08:24.479 Cnt: 00000499	State: 04	Flags: 0x04130080	Pos: 7.186e+00	Vel: 1.978e+02	Iq: 2.665e+00	DcV: 2.543e+01	DcI: 4.065e-01	DcP:-7.615e+00	ExV: 2.473e+01	ExI: 3.265e-01	ExP: 8.044e+00	WoV: 1.176e+01	WoI: 3.225e-01	WoP: 3.790e+00	Tm: 1.711e+02	Tr: 1.821e+02
2025/12/10 00:08:34.569 Cnt: 00000509	State: 04	Flags: 0x04130080	Pos: 2.176e+00	Vel: 1.622e+02	Iq: 2.212e+00	DcV: 2.561e+01	DcI: 2.858e-01	DcP:-4.839e+00	ExV: 2.477e+01	ExI: 3.564e-01	ExP: 8.785e+00	WoV: 1.175e+01	WoI: 3.192e-01	WoP: 3.752e+00	Tm:-2.939e+02	Tr: 2.952e+02
2025/12/10 00:08:44.609 Cnt: 00000519	State: 04	Flags: 0x04130080	Pos: 4.304e+00	Vel: 2.178e+02	Iq: 2.720e+00	DcV: 2.562e+01	DcI: 4.041e-01	DcP:-7.692e+00	ExV: 2.473e+01	ExI: 3.288e-01	ExP: 8.107e+00	WoV: 1.176e+01	WoI: 3.219e-01	WoP: 3.784e+00	Tm:-8.732e+01	Tr: 1.274e+02
2025/12/10 00:08:54.658 Cnt: 00000529	State: 04	Flags: 0x04130080	Pos: 4.309e-01	Vel: 3.511e+02	Iq: 4.806e+00	DcV: 2.618e+01	DcI: 1.199e+00	DcP:-2.593e+01	ExV: 2.475e+01	ExI: 3.470e-01	ExP: 8.551e+00	WoV: 1.175e+01	WoI: 3.186e-01	WoP: 3.745e+00	Tm:-4.496e+02	Tr: 4.567e+02
2025/12/10 00:09:04.722 Cnt: 00000539	State: 04	Flags: 0x04130080	Pos: 2.586e+00	Vel: 1.189e+02	Iq: 1.587e+00	DcV: 2.633e+01	DcI: 1.221e-01	DcP:-1.820e+00	ExV: 2.472e+01	ExI: 3.567e-01	ExP: 8.788e+00	WoV: 1.176e+01	WoI: 3.183e-01	WoP: 3.742e+00	Tm:-2.610e+02	Tr: 2.668e+02
2025/12/10 00:09:14.782 Cnt: 00000549	State: 04	Flags: 0x04130080	Pos: 4.985e+00	Vel: 5.925e+02	Iq: 8.037e+00	DcV: 2.678e+01	DcI: 3.017e+00	DcP:-7.561e+01	ExV: 2.472e+01	ExI: 3.569e-01	ExP: 8.801e+00	WoV: 1.176e+01	WoI: 3.215e-01	WoP: 3.780e+00	Tm:-4.164e+01	Tr: 2.698e+02
