2025/11/21 00:08:55.399 Cnt: 00000529	State: 04	Flags: 0x04030080	Pos:-2.262e+00	Vel: 8.908e+01	Iq: 3.389e+01	DcV: 2.296e+01	DcI: 1.080e-02	DcP: 1.865e-01	ExV: 2.552e+01	ExI: 3.574e-01	ExP: 9.096e+00	WoV: 1.176e+01	WoI: 3.208e-01	WoP: 3.773e+00	Tm:-2.073e+02	Tr: 2.110e+02
2025/11/21 00:09:05.452 Cnt: 00000539	State: 04	Flags: 0x04130080	Pos:-2.286e+00	Vel: 2.112e+02	Iq: 2.775e+00	DcV: 2.304e+01	DcI: 4.449e-01	DcP:-7.938e+00	ExV: 2.552e+01	ExI: 3.502e-01	ExP: 8.892e+00	WoV: 1.176e+01	WoI: 3.181e-01	WoP: 3.740e+00	Tm:-2.900e+02	Tr: 2.972e+02
2025/11/21 00:09:15.552 Cnt: 00000549	State: 04	Flags: 0x04130080	Pos: 3.753e+00	Vel: 2.224e+02	Iq: 2.918e+00	DcV: 2.339e+01	DcI: 5.642e-01	DcP:-9.590e+00	ExV: 2.552e+01	ExI: 3.530e-01	ExP: 8.987e+00	WoV: 1.176e+01	WoI: 3.205e-01	WoP: 3.768e+00	Tm: 2.571e+02	Tr: 2.615e+02
2025/11/21 00:09:25.573 Cnt: 00000559	State: 04	Flags: 0x04130080	Pos:-4.296e+00	Vel: 3.049e+02	Iq: 3.942e+00	DcV: 2.401e+01	DcI: 9.099e-01	DcP:-1.821e+01	ExV: 2.552e+01	ExI: 3.354e-01	ExP: 8.538e+00	WoV: 1.176e+01	WoI: 3.222e-01	WoP: 3.788e+00	Tm:-4.357e+02	Tr: 4.412e+02
2025/11/21 00:09:35.625 Cnt: 00000569	State: 04	Flags: 0x04030080	Pos:-1.896e+00	Vel: 6.413e+01	Iq: 3.584e+01	DcV: 2.415e+01	DcI: 6.654e-03	DcP: 1.604e-01	ExV: 2.552e+01	ExI: 3.470e-01	ExP: 8.787e+00	WoV: 1.176e+01	WoI: 3.148e-01	WoP: 3.702e+00	Tm:-1.727e+02	Tr: 1.741e+02
2025/11/21 00:09:45.682 Cnt: 00000579	State: 04	Flags: 0x04130080	Pos:-2.575e+00	Vel: 1.336e+02	Iq: 1.764e+00	DcV: 2.422e+01	DcI: 1.525e-01	DcP:-2.313e+00	ExV: 2.551e+01	ExI: 3.576e-01	ExP: 9.103e+00	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.774e+00	Tm:-3.067e+02	Tr: 3.089e+02
2025/11/21 00:09:55.731 Cnt: 00000589	State: 04	Flags: 0x04030080	Pos:-6.624e-01	Vel: 1.054e+02	Iq: 2.795e+01	DcV: 2.420e+01	DcI: 1.347e-02	DcP: 2.285e-01	ExV: 2.551e+01	ExI: 3.533e-01	ExP: 8.941e+00	WoV: 1.176e+01	WoI: 3.196e-01	WoP: 3.757e+00	Tm:-5.925e+01	Tr: 8.072e+01
2025/11/21 00:10:05.789 Cnt: 00000599	State: 04	Flags: 0x04130080	Pos:-2.185e+00	Vel: 2.861e+02	Iq: 3.829e+00	DcV: 2.434e+01	DcI: 8.102e-01	DcP:-1.618e+01	ExV: 2.552e+01	ExI: 3.584e-01	ExP: 9.118e+00	WoV: 1.176e+01	WoI: 3.186e-01	WoP: 3.747e+00	Tm:-2.934e+02	Tr: 3.107e+02
2025/11/21 00:10:15.849 Cnt: 00000609	State: 04	Flags: 0x04130080	Pos:-8.010e-01	Vel: 1.358e+02	Iq: 1.838e+00	DcV: 2.447e+01	DcI: 1.506e-01	DcP:-2.794e+00	ExV: 2.551e+01	ExI: 3.653e-01	ExP: 9.300e+00	WoV: 1.176e+01	WoI: 3.207e-01	WoP: 3.771e+00	Tm:-1.574e+02	Tr: 1.705e+02
2025/11/21 00:10:25.911 Cnt: 00000619	State: 04	Flags: 0x04130080	Pos: 4.082e-03	Vel: 2.934e+02	Iq: 3.913e+00	DcV: 2.469e+01	DcI: 7.689e-01	DcP:-1.706e+01	ExV: 2.552e+01	ExI: 3.330e-01	ExP: 8.463e+00	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.771e+00	Tm:-6.620e+01	Tr: 1.683e+02
2025/11/21 00:10:35.973 Cnt: 00000629	State: 04	Flags: 0x04130080	Pos:-8.901e-01	Vel: 8.909e+01	Iq: 1.158e+00	DcV: 2.481e+01	DcI: 8.875e-02	DcP:-4.525e-01	ExV: 2.552e+01	ExI: 3.550e-01	ExP: 9.028e+00	WoV: 1.176e+01	WoI: 3.178e-01	WoP: 3.737e+00	Tm:-1.607e+02	Tr: 1.616e+02
2025/11/21 00:10:46.025 Cnt: 00000639	State: 04	Flags: 0x04130080	Pos:-6.917e-01	Vel: 2.395e+02	Iq: 3.160e+00	DcV: 2.490e+01	DcI: 5.433e-01	DcP:-1.134e+01	ExV: 2.552e+01	ExI: 3.419e-01	ExP: 8.715e+00	WoV: 1.176e+01	WoI: 3.178e-01	WoP: 3.735e+00	Tm:-1.514e+02	Tr: 1.976e+02
2025/11/21 00:10:56.086 Cnt: 00000649	State: 04	Flags: 0x04130080	Pos:-2.415e-01	Vel: 9.019e+01	Iq: 1.184e+00	DcV: 2.516e+01	DcI: 7.461e-02	DcP:-5.973e-01	ExV: 2.552e+01	ExI: 3.366e-01	ExP: 8.551e+00	WoV: 1.176e+01	WoI: 3.202e-01	WoP: 3.765e+00	Tm:-9.234e+01	Tr: 1.050e+02
2025/11/21 00:11:06.143 Cnt: 00000659	State: 04	Flags: 0x04130080	Pos:-1.663e+00	Vel: 3.495e+02	Iq: 4.597e+00	DcV: 2.537e+01	DcI: 1.109e+00	DcP:-2.449e+01	ExV: 2.553e+01	ExI: 3.534e-01	ExP: 8.998e+00	WoV: 1.176e+01	WoI: 3.243e-01	WoP: 3.813e+00	Tm:-2.605e+02	Tr: 2.969e+02
