2025/11/19 00:08:32.625 Cnt: 00000509	State: 04	Flags: 0x04130080	Pos: 3.318e+00	Vel: 1.862e+02	Iq: 2.483e+00	DcV: 1.757e+01	DcI: 4.449e-01	DcP:-7.008e+00	ExV: 2.526e+01	ExI: 3.249e-01	ExP: 8.172e+00	WoV: 1.176e+01	WoI: 3.211e-01	WoP: 3.775e+00	Tm:-1.544e+02	Tr: 1.799e+02
2025/11/19 00:08:42.674 Cnt: 00000519	State: 04	Flags: 0x04030080	Pos: 2.604e+00	Vel: 4.382e+01	Iq: 1.978e+01	DcV: 1.757e+01	DcI: 4.025e-02	DcP: 2.132e-01	ExV: 2.526e+01	ExI: 3.196e-01	ExP: 8.034e+00	WoV: 1.175e+01	WoI: 3.191e-01	WoP: 3.751e+00	Tm:-2.042e+02	Tr: 2.055e+02
2025/11/19 00:08:52.726 Cnt: 00000529	State: 04	Flags: 0x04130080	Pos: 3.890e+00	Vel: 9.170e+01	Iq: 1.233e+00	DcV: 1.763e+01	DcI: 9.041e-02	DcP:-8.394e-01	ExV: 2.526e+01	ExI: 3.068e-01	ExP: 7.713e+00	WoV: 1.176e+01	WoI: 3.189e-01	WoP: 3.750e+00	Tm:-1.073e+02	Tr: 1.117e+02
2025/11/19 00:09:02.784 Cnt: 00000539	State: 04	Flags: 0x04130080	Pos: 1.377e+00	Vel: 2.517e+02	Iq: 3.298e+00	DcV: 1.831e+01	DcI: 8.542e-01	DcP:-1.269e+01	ExV: 2.528e+01	ExI: 3.106e-01	ExP: 7.815e+00	WoV: 1.176e+01	WoI: 3.205e-01	WoP: 3.766e+00	Tm:-3.352e+02	Tr: 3.378e+02
2025/11/19 00:09:12.837 Cnt: 00000549	State: 04	Flags: 0x04130080	Pos: 4.286e+00	Vel: 1.142e+02	Iq: 1.684e+01	DcV: 1.836e+01	DcI: 2.455e-02	DcP: 1.586e-01	ExV: 2.526e+01	ExI: 2.990e-01	ExP: 7.495e+00	WoV: 1.176e+01	WoI: 3.208e-01	WoP: 3.772e+00	Tm:-4.320e+01	Tr: 5.737e+01
2025/11/19 00:09:22.888 Cnt: 00000559	State: 04	Flags: 0x04130080	Pos: 4.664e+00	Vel: 1.658e+02	Iq: 1.913e+00	DcV: 1.844e+01	DcI: 2.878e-01	DcP:-4.013e+00	ExV: 2.527e+01	ExI: 3.280e-01	ExP: 8.269e+00	WoV: 1.176e+01	WoI: 3.235e-01	WoP: 3.802e+00	Tm:-1.747e+01	Tr: 6.662e+01
2025/11/19 00:09:32.931 Cnt: 00000569	State: 04	Flags: 0x04030080	Pos: 4.128e+00	Vel: 7.331e+01	Iq: 3.781e+01	DcV: 1.842e+01	DcI: 6.731e-03	DcP: 1.238e-01	ExV: 2.527e+01	ExI: 3.125e-01	ExP: 7.841e+00	WoV: 1.176e+01	WoI: 3.211e-01	WoP: 3.776e+00	Tm:-2.773e+01	Tr: 5.273e+01
2025/11/19 00:09:42.974 Cnt: 00000579	State: 04	Flags: 0x04030080	Pos: 3.243e+00	Vel: 7.691e+01	Iq: 3.367e+01	DcV: 1.842e+01	DcI: 6.766e-03	DcP: 1.245e-01	ExV: 2.527e+01	ExI: 3.035e-01	ExP: 7.645e+00	WoV: 1.176e+01	WoI: 3.188e-01	WoP: 3.748e+00	Tm:-1.224e+02	Tr: 1.236e+02
2025/11/19 00:09:53.033 Cnt: 00000589	State: 04	Flags: 0x04130080	Pos: 4.801e+00	Vel: 1.374e+02	Iq: 1.122e+01	DcV: 1.848e+01	DcI: 1.292e-01	DcP:-7.607e-01	ExV: 2.527e+01	ExI: 3.202e-01	ExP: 8.055e+00	WoV: 1.176e+01	WoI: 3.183e-01	WoP: 3.743e+00	Tm: 1.453e+01	Tr: 3.783e+01
2025/11/19 00:10:03.076 Cnt: 00000599	State: 04	Flags: 0x04030080	Pos: 3.895e+00	Vel: 3.394e+01	Iq: 3.443e+01	DcV: 1.850e+01	DcI: 6.946e-03	DcP: 1.284e-01	ExV: 2.526e+01	ExI: 3.011e-01	ExP: 7.571e+00	WoV: 1.176e+01	WoI: 3.199e-01	WoP: 3.760e+00	Tm:-6.339e+01	Tr: 6.536e+01
